Escuela_ID;Curso ;División;matricula_por_escuela_curso_y_division
4;2°;A;29
4;2°;B;28
4;2°;C;27
4;2°;D;23
4;3°;A;25
4;3°;B;27
4;3°;C;21
4;3°;D;23
4;3°;E;19
4;3°;F;21
4;4°;A;31
4;4°;B;30
4;4°;C;26
4;4°;D;29
4;5°;A;32
4;5°;B;34
4;5°;C;29
4;5°;D;27
4;6°;A;31
4;6°;B;31
4;6°;C;29
4;6°;D;29
4;7°;A;31
4;7°;B;32
4;7°;C;31
4;7°;D;31
5;2°;A;23
5;2°;B;18
5;3°;A;26
5;3°;B;25
5;4°;A;26
5;4°;B;21
5;5°;A;27
5;5°;B;21
5;6°;A;27
5;6°;B;26
5;7°;A;28
5;7°;B;23
6;2°;A;18
6;2°;B;20
6;3°;A;14
6;3°;B;16
6;3°;C;16
6;4°;A;11
6;4°;B;11
6;4°;C;24
6;5°;A;25
6;5°;B;14
6;6°;A;24
6;6°;B;14
6;7°;A;24
6;7°;B;17
7;2°;A;32
7;2°;B;28
7;2°;C;28
7;3°;A;34
7;3°;B;29
7;3°;C;29
7;4°;A;33
7;4°;B;32
7;4°;C;30
7;5°;A;32
7;5°;B;29
7;5°;C;28
7;6°;A;29
7;6°;B;27
7;6°;C;32
7;7°;A;31
7;7°;B;31
7;7°;C;28
8;2°;A;16
8;2°;B;13
8;3°;A;19
8;3°;B;23
8;4°;A;23
8;4°;B;21
8;5°;A;25
8;5°;B;18
8;6°;A;23
8;6°;B;21
8;7°;A;20
8;7°;B;17
9;2°;A;26
9;2°;B;28
9;2°;C;25
9;2°;D;28
9;3°;A;24
9;3°;B;24
9;3°;C;25
9;3°;D;20
9;3°;E;22
9;4°;A;32
9;4°;B;32
9;4°;C;25
9;4°;D;23
9;5°;A;28
9;5°;B;26
9;5°;C;29
9;5°;D;28
9;6°;A;32
9;6°;B;33
9;6°;C;28
9;6°;D;28
9;7°;A;29
9;7°;B;29
9;7°;C;28
9;7°;D;27
10;2°;A;22
10;2°;B;22
10;2°;C;22
10;2°;D;21
10;3°;A;25
10;3°;B;28
10;3°;C;25
10;3°;D;26
10;4°;A;28
10;4°;B;29
10;4°;C;27
10;4°;D;27
10;5°;A;32
10;5°;B;30
10;5°;C;31
10;5°;D;28
10;6°;A;30
10;6°;B;30
10;6°;C;22
10;6°;D;23
10;7°;A;30
10;7°;B;28
10;7°;C;29
10;7°;D;28
11;2°;A;20
11;2°;B;19
11;2°;C;26
11;3°;A;21
11;3°;B;18
11;3°;C;15
11;4°;A;23
11;4°;B;19
11;4°;C;22
11;5°;A;27
11;5°;B;16
11;5°;C;16
11;6°;A;23
11;6°;B;24
11;6°;C;21
11;7°;A;20
11;7°;B;16
11;7°;C;17
12;2°;A;20
12;2°;B;19
12;2°;C;19
12;3°;A;24
12;3°;B;21
12;3°;C;23
12;4°;A;23
12;4°;B;23
12;4°;C;20
12;5°;A;27
12;5°;B;25
12;5°;C;28
12;6°;A;22
12;6°;B;22
12;6°;C;21
12;6°;D;21
12;7°;A;21
12;7°;B;18
12;7°;C;19
13;2°;A;16
13;2°;B;16
13;3°;A;16
13;3°;B;15
13;4°;A;22
13;4°;B;22
13;5°;A;17
13;5°;B;16
13;6°;A;18
13;6°;B;18
13;7°;A;21
13;7°;B;19
14;2°;A;30
14;2°;B;31
14;3°;A;32
14;3°;B;21
14;4°;A;31
14;4°;B;28
14;5°;A;31
14;5°;B;28
14;6°;A;29
14;6°;B;30
14;7°;A;31
14;7°;B;28
15;2°;1º;17
15;3°;1º;15
15;4°;1º;21
15;5°;1º;22
15;6°;1º;21
15;7°;1º;17
16;2°;A;16
16;2°;B;22
16;3°;A;21
16;3°;B;17
16;4°;A;21
16;4°;B;16
16;5°;A;21
16;5°;B;21
16;6°;A;21
16;6°;B;20
16;7°;A;26
16;7°;B;18
17;2°;A;20
17;2°;B;16
17;3°;A;14
17;3°;B;13
17;3°;C;12
17;4°;A;19
17;4°;B;15
17;4°;C;14
17;5°;A;24
17;5°;B;16
17;6°;A;20
17;6°;B;18
17;7°;A;21
17;7°;B;16
18;2°;2do y 3ro;8
18;3°;2do y 3ro;7
18;4°;1º;13
18;5°;Ú;15
18;6°;1º;18
18;7°;1º;17
19;2°;1º;13
19;3°;1º;17
19;4°;1º;18
19;5°;1º;17
19;6°;1º;14
19;7°;1º;20
20;2°;A;20
20;2°;B;20
20;2°;C;29
20;3°;A;27
20;3°;B;20
20;3°;C;16
20;4°;A;28
20;4°;B;19
20;4°;C;19
20;5°;A;29
20;5°;B;21
20;5°;C;21
20;6°;A;21
20;6°;B;21
20;6°;C;27
20;7°;A;29
20;7°;B;29
21;1°;1° y 2° AJ;6
21;2°;1° y 2° AJ;10
21;3°;U AJ;5
21;4°;4° y 5°  AJ;9
21;5°;4° y 5°  AJ;10
21;6°;6° y 7° AJ;5
21;7°;6° y 7° AJ;11
22;2°;A;27
22;2°;B;17
22;2°;C;18
22;3°;A;24
22;3°;B;25
22;3°;C;24
22;4°;A;26
22;4°;B;20
22;4°;C;24
22;5°;A;27
22;5°;B;25
22;5°;C;26
22;6°;A;27
22;6°;B;27
22;6°;C;23
22;7°;A;32
22;7°;B;23
22;7°;C;17
23;2°;A;21
23;2°;B;16
23;3°;A;20
23;3°;B;21
23;4°;A;25
23;4°;B;24
23;5°;A;25
23;5°;B;17
23;6°;A;23
23;6°;B;17
23;7°;A;18
23;7°;B;17
24;2°;Ú;27
24;3°;ú;30
24;4°;Ú;27
24;5°;A;23
24;5°;B;23
24;6°;Ú;26
24;7°;A;16
24;7°;B;17
25;2°;A;26
25;2°;B;22
25;3°;A;22
25;3°;B;22
25;3°;C;23
25;4°;A;29
25;4°;B;23
25;5°;A;25
25;5°;B;24
25;5°;C;22
25;6°;A;31
25;6°;B;30
25;7°;A;32
25;7°;B;32
26;2°;A;27
26;2°;B;29
26;2°;C;27
26;3°;A;29
26;3°;B;23
26;4°;A;28
26;4°;B;29
26;5°;A;28
26;5°;B;28
26;5°;C;27
26;6°;A;30
26;6°;B;27
26;7°;A;30
26;7°;B;30
26;7°;C;26
27;2°;A;13
27;3°;A;15
27;4°;A;24
27;5°;A;26
27;6°;A;14
27;7°;A;21
28;2°;2º y 3º;9
28;3°;2º y 3º;10
28;4°;ÚNICO;13
28;5°;1º;14
28;6°;ÚNICO;15
28;7°;ÚNICO;11
29;2°;A;25
29;2°;B;27
29;2°;C;23
29;3°;A;28
29;3°;B;27
29;3°;C;24
29;4°;A;29
29;4°;B;28
29;4°;C;25
29;5°;A;24
29;5°;B;29
29;5°;C;29
29;6°;A;26
29;6°;B;29
29;6°;C;27
29;7°;A;32
29;7°;B;29
29;7°;C;31
30;2°;A;22
30;2°;B;23
30;3°;A;21
30;3°;B;22
30;4°;A;26
30;4°;B;26
30;5°;A;29
30;5°;B;30
30;6°;A;26
30;6°;B;25
30;7°;A;28
30;7°;B;27
31;2°;A;25
31;2°;B;27
31;2°;C;21
31;2°;D;21
31;3°;A;31
31;3°;B;30
31;3°;C;26
31;3°;D;24
31;4°;A;24
31;4°;B;24
31;4°;C;27
31;4°;D;29
31;4°;E;23
31;5°;A;31
31;5°;B;30
31;5°;C;28
31;5°;D;29
31;6°;A;31
31;6°;B;28
31;6°;C;27
31;6°;D;24
31;7°;A;28
31;7°;B;29
31;7°;C;18
31;7°;D;20
32;2°;A;12
32;3°;A;16
32;4°;A;25
32;5°;A;23
32;6°;A;28
32;7°;A;16
33;2°;1º;7
33;3°;1º;18
33;4°;1º;17
33;5°;1º;28
33;6°;1º;13
33;7°;1º;23
34;2°;A;21
34;2°;B;22
34;3°;A;24
34;3°;B;22
34;4°;A;21
34;4°;B;21
34;5°;A;21
34;5°;B;19
34;6°;A;26
34;6°;B;26
34;7°;A;24
34;7°;B;23
35;2°;1º;18
35;3°;1º;25
35;4°;1º;18
35;5°;1º;15
35;6°;1º;19
35;7°;1º;21
36;2°;A;20
36;2°;B;13
36;2°;C;12
36;3°;A;16
36;3°;B;13
36;3°;C;17
36;4°;A;22
36;4°;B;16
36;4°;C;17
36;5°;A;25
36;5°;B;13
36;5°;C;12
36;6°;A;21
36;6°;B;22
36;6°;C;19
36;7°;A;18
36;7°;B;19
36;7°;C;18
37;2°;A;23
37;2°;B;23
37;3°;A;26
37;3°;B;26
37;4°;A;28
37;4°;B;29
37;5°;A;33
37;5°;B;30
37;6°;A;29
37;6°;B;31
37;7°;A;32
37;7°;B;28
38;2°;1º;21
38;3°;1º;23
38;4°;1º;27
38;5°;1º;26
38;6°;1º;25
38;7°;1º;23
39;2°;A;24
39;2°;B;24
39;3°;A;26
39;3°;B;22
39;4°;A;16
39;4°;B;17
39;4°;C;16
39;4°;D;13
