Escuela_ID;Curso ;matricula_por_escuela_y_curso
4;2°;107
4;3°;136
4;4°;116
4;5°;122
4;6°;120
4;7°;125
5;2°;41
5;3°;51
5;4°;47
5;5°;48
5;6°;53
5;7°;51
6;2°;38
6;3°;46
6;4°;46
6;5°;39
6;6°;38
6;7°;41
7;2°;88
7;3°;92
7;4°;95
7;5°;89
7;6°;88
7;7°;90
8;2°;29
8;3°;42
8;4°;44
8;5°;43
8;6°;44
8;7°;37
9;2°;107
9;3°;115
9;4°;112
9;5°;111
9;6°;121
9;7°;113
10;2°;87
10;3°;104
10;4°;111
10;5°;121
10;6°;105
10;7°;115
11;2°;65
11;3°;54
11;4°;64
11;5°;59
11;6°;68
11;7°;53
12;2°;58
12;3°;68
12;4°;66
12;5°;80
12;6°;86
12;7°;58
13;2°;32
13;3°;31
13;4°;44
13;5°;33
13;6°;36
13;7°;40
14;2°;61
14;3°;53
14;4°;59
14;5°;59
14;6°;59
14;7°;59
15;2°;17
15;3°;15
15;4°;21
15;5°;22
15;6°;21
15;7°;17
16;2°;38
16;3°;38
16;4°;37
16;5°;42
16;6°;41
16;7°;44
17;2°;36
17;3°;39
17;4°;48
17;5°;40
17;6°;38
17;7°;37
18;2°;8
18;3°;7
18;4°;13
18;5°;15
18;6°;18
18;7°;17
19;2°;13
19;3°;17
19;4°;18
19;5°;17
19;6°;14
19;7°;20
20;2°;69
20;3°;63
20;4°;66
20;5°;71
20;6°;69
20;7°;58
21;1°;6
21;2°;10
21;3°;5
21;4°;9
21;5°;10
21;6°;5
21;7°;11
22;2°;62
22;3°;73
22;4°;70
22;5°;78
22;6°;77
22;7°;72
23;2°;37
23;3°;41
23;4°;49
23;5°;42
23;6°;40
23;7°;35
24;2°;27
24;3°;30
24;4°;27
24;5°;46
24;6°;26
24;7°;33
25;2°;48
25;3°;67
25;4°;52
25;5°;71
25;6°;61
25;7°;64
26;2°;83
26;3°;52
26;4°;57
26;5°;83
26;6°;57
26;7°;86
27;2°;13
27;3°;15
27;4°;24
27;5°;26
27;6°;14
27;7°;21
28;2°;9
28;3°;10
28;4°;13
28;5°;14
28;6°;15
28;7°;11
29;2°;75
29;3°;79
29;4°;82
29;5°;82
29;6°;82
29;7°;92
30;2°;45
30;3°;43
30;4°;52
30;5°;59
30;6°;51
30;7°;55
31;2°;94
31;3°;111
31;4°;127
31;5°;118
31;6°;110
31;7°;95
32;2°;12
32;3°;16
32;4°;25
32;5°;23
32;6°;28
32;7°;16
33;2°;7
33;3°;18
33;4°;17
33;5°;28
33;6°;13
33;7°;23
34;2°;43
34;3°;46
34;4°;42
34;5°;40
34;6°;52
34;7°;47
35;2°;18
35;3°;25
35;4°;18
35;5°;15
35;6°;19
35;7°;21
36;2°;45
36;3°;46
36;4°;55
36;5°;50
36;6°;62
36;7°;55
37;2°;46
37;3°;52
37;4°;57
37;5°;63
37;6°;60
37;7°;60
38;2°;21
38;3°;23
38;4°;27
38;5°;26
38;6°;25
38;7°;23
39;2°;48
39;3°;48
39;4°;62
39;5°;57
39;6°;59
39;7°;58
40;2°;19
40;3°;16
40;4°;21
40;5°;25
40;6°;17
40;7°;16
41;2°;34
41;3°;30
41;4°;23
41;5°;34
41;6°;21
41;7°;29
42;2°;13
42;3°;24
42;4°;22
42;5°;21
42;6°;20
42;7°;24
43;2°;26
43;3°;20
43;4°;30
43;5°;23
43;6°;23
43;7°;21
44;2°;9
44;3°;7
44;4°;3
44;5°;9
44;6°;15
44;7°;13
45;2°;36
45;3°;29
45;4°;34
45;5°;30
45;6°;42
45;7°;24
46;2°;25
46;3°;14
46;4°;19
46;5°;22
46;6°;25
46;7°;24
47;2°;37
47;3°;44
47;4°;42
47;5°;50
47;6°;48
47;7°;49
48;2°;16
48;3°;13
48;4°;13
48;5°;14
48;6°;16
48;7°;15
49;2°;37
49;3°;25
49;4°;28
49;5°;27
49;6°;31
49;7°;31
50;2°;14
50;3°;11
50;4°;9
50;5°;16
50;6°;12
50;7°;10
51;2°;82
51;3°;75
51;4°;84
51;5°;89
51;6°;76
51;7°;88
52;2°;77
52;3°;83
52;4°;92
52;5°;85
52;6°;85
52;7°;84
53;2°;87
53;3°;79
53;4°;95
53;5°;89
53;6°;87
53;7°;94
54;2°;16
54;3°;18
54;4°;22
54;5°;15
54;6°;20
54;7°;22
55;2°;47
55;3°;42
55;4°;44
55;5°;51
55;6°;49
55;7°;46
56;2°;46
56;3°;39
56;4°;38
56;5°;42
56;6°;37
56;7°;36
57;2°;36
57;3°;25
57;4°;41
57;5°;43
57;6°;33
57;7°;42
58;2°;55
58;3°;51
58;4°;53
58;5°;63
58;6°;58
58;7°;56
59;2°;26
59;3°;30
59;4°;33
59;5°;31
59;6°;38
59;7°;23
60;2°;27
60;3°;22
60;4°;28
60;5°;39
60;6°;47
60;7°;28
61;1°;3
61;2°;2
61;3°;9
61;4°;5
61;5°;9
61;6°;2
61;7°;9
62;2°;31
62;3°;25
62;4°;35
62;5°;46
62;6°;46
62;7°;45
63;2°;58
63;3°;71
63;4°;66
63;5°;55
63;6°;83
63;7°;87
64;2°;10
64;3°;12
64;4°;15
64;5°;13
64;6°;16
64;7°;15
65;2°;76
65;3°;80
65;4°;93
65;5°;94
65;6°;80
65;7°;76
66;2°;52
66;3°;59
66;4°;56
66;5°;58
66;6°;57
66;7°;59
67;2°;9
67;3°;9
67;4°;12
67;5°;15
67;6°;12
67;7°;17
68;2°;12
68;3°;18
68;4°;22
68;5°;22
68;6°;17
68;7°;20
69;2°;40
69;3°;44
69;4°;39
69;5°;55
69;6°;55
69;7°;38
70;2°;20
70;3°;38
70;4°;31
70;5°;30
70;6°;26
70;7°;28
71;2°;61
71;3°;70
71;4°;70
71;5°;78
71;6°;76
71;7°;77
72;2°;39
72;3°;47
72;4°;43
72;5°;45
72;6°;49
72;7°;46
73;2°;28
73;3°;28
73;4°;31
73;5°;29
73;6°;30
73;7°;29
74;2°;94
74;3°;98
74;4°;111
74;5°;113
74;6°;112
74;7°;108
75;1°;5
75;2°;3
75;3°;4
75;4°;6
75;5°;8
75;6°;2
75;7°;6
76;1°;4
76;2°;10
76;3°;3
76;4°;6
76;5°;6
76;6°;3
76;7°;2
77;2°;77
77;3°;67
77;4°;77
77;5°;76
77;6°;53
77;7°;57
78;2°;51
78;3°;37
78;4°;47
78;5°;38
78;6°;46
78;7°;30
79;2°;10
79;3°;17
79;4°;14
79;5°;17
79;6°;11
79;7°;14
80;2°;63
80;3°;67
80;4°;67
80;5°;64
80;6°;63
80;7°;68
81;2°;25
81;3°;27
81;4°;22
81;5°;25
81;6°;23
81;7°;19
82;2°;68
82;3°;68
82;4°;75
82;5°;76
82;6°;60
82;7°;79
83;2°;18
83;3°;24
83;4°;14
83;5°;22
83;6°;18
83;7°;21
84;2°;29
84;3°;23
84;4°;21
84;5°;25
84;6°;28
84;7°;17
85;2°;67
85;3°;57
85;4°;63
85;5°;71
85;6°;56
85;7°;45
86;2°;13
86;3°;18
86;4°;18
86;5°;11
86;6°;20
86;7°;14
87;2°;52
87;3°;46
87;4°;51
87;5°;59
87;6°;43
87;7°;59
88;2°;9
88;3°;14
88;4°;20
88;5°;15
88;6°;14
88;7°;14
90;2°;26
90;3°;34
90;4°;24
90;5°;28
90;6°;22
90;7°;18
91;1°;1
91;2°;6
91;3°;2
91;4°;3
91;5°;5
91;6°;5
91;7°;6
92;2°;67
92;3°;83
92;4°;81
92;5°;83
92;6°;69
92;7°;72
93;2°;55
93;3°;53
93;4°;40
93;5°;55
93;6°;45
93;7°;38
94;2°;124
94;3°;119
94;4°;125
94;5°;129
94;6°;111
94;7°;107
95;2°;76
95;3°;81
95;4°;82
95;5°;85
95;6°;92
95;7°;87
96;2°;57
96;3°;83
96;4°;67
96;5°;91
