Supervisión;Curso ;matricula_por_supervisión_y_curso
-;1°;71
-;2°;72
-;3°;57
-;4°;44
-;5°;59
-;6°;60
01 - Primario;2°;635
01 - Primario;3°;602
01 - Primario;4°;696
01 - Primario;5°;711
01 - Primario;6°;729
01 - Primario;7°;689
01 - Primario Privada;2°;839
01 - Primario Privada;3°;862
01 - Primario Privada;4°;893
01 - Primario Privada;5°;960
01 - Primario Privada;6°;926
01 - Primario Privada;7°;981
01 - Secundario Orientado;1°;1185
01 - Secundario Orientado;2°;1092
01 - Secundario Orientado;3°;1014
01 - Secundario Orientado;4°;905
01 - Secundario Orientado;5°;875
01 - Secundario Orientado Privada;1°;1137
01 - Secundario Orientado Privada;2°;1161
01 - Secundario Orientado Privada;3°;1115
01 - Secundario Orientado Privada;4°;1072
01 - Secundario Orientado Privada;5°;933
01 - Secundario Técnico;1°;2000
01 - Secundario Técnico;2°;1925
01 - Secundario Técnico;3°;1561
01 - Secundario Técnico;4°;1273
01 - Secundario Técnico;5°;1104
01 - Secundario Técnico;6°;878
02 - Primario;2°;687
02 - Primario;3°;702
02 - Primario;4°;740
02 - Primario;5°;774
02 - Primario;6°;755
02 - Primario;7°;748
02 - Primario Privada;2°;598
02 - Primario Privada;3°;605
02 - Primario Privada;4°;639
02 - Primario Privada;5°;653
02 - Primario Privada;6°;577
02 - Primario Privada;7°;655
02 - Secundario Orientado;1°;815
02 - Secundario Orientado;2°;708
02 - Secundario Orientado;3°;647
02 - Secundario Orientado;4°;580
02 - Secundario Orientado;5°;463
02 - Secundario Orientado Privada;1°;707
02 - Secundario Orientado Privada;2°;734
02 - Secundario Orientado Privada;3°;667
02 - Secundario Orientado Privada;4°;599
02 - Secundario Orientado Privada;5°;597
02 - Secundario Orientado Privada;6°;12
02 - Secundario Técnico;1°;2076
02 - Secundario Técnico;2°;1811
02 - Secundario Técnico;3°;1548
02 - Secundario Técnico;4°;1244
02 - Secundario Técnico;5°;1036
02 - Secundario Técnico;6°;790
03 - Primario;1°;4
03 - Primario;2°;689
03 - Primario;3°;712
03 - Primario;4°;780
03 - Primario;5°;785
03 - Primario;6°;777
03 - Primario;7°;694
03 - Primario Privada;2°;874
03 - Primario Privada;3°;838
03 - Primario Privada;4°;893
03 - Primario Privada;5°;890
03 - Primario Privada;6°;884
03 - Primario Privada;7°;835
03 - Secundario Orientado;1°;1555
03 - Secundario Orientado;2°;1374
03 - Secundario Orientado;3°;1323
03 - Secundario Orientado;4°;1129
03 - Secundario Orientado;5°;962
03 - Secundario Orientado Privada;1°;1070
03 - Secundario Orientado Privada;2°;1114
03 - Secundario Orientado Privada;3°;1071
03 - Secundario Orientado Privada;4°;1049
03 - Secundario Orientado Privada;5°;953
03 - Secundario Técnico;1°;1765
03 - Secundario Técnico;2°;1750
03 - Secundario Técnico;3°;1404
03 - Secundario Técnico;4°;1185
03 - Secundario Técnico;5°;991
03 - Secundario Técnico;6°;727
04 - Primario;2°;689
04 - Primario;3°;597
04 - Primario;4°;662
04 - Primario;5°;705
04 - Primario;6°;653
04 - Primario;7°;619
04 - Primario Privada;2°;780
04 - Primario Privada;3°;780
04 - Primario Privada;4°;809
04 - Primario Privada;5°;784
04 - Primario Privada;6°;791
04 - Primario Privada;7°;732
04 - Secundario Orientado;1°;795
04 - Secundario Orientado;2°;733
04 - Secundario Orientado;3°;701
04 - Secundario Orientado;4°;592
04 - Secundario Orientado;5°;512
04 - Secundario Orientado Privada;1°;1026
