Nivel;Nivel_Unificado;Gestión;Supervisión;Escuela_ID;CUE;subcue;Número;Anexo;Número_Anexo;Escuela;Departamento;Localidad;zona;AMBITO;Regional
Primario;Primario;Pública;13 - Primario;4;5000915;0;1003;0;1003-0;JUSTO JOSÉ DE URQUIZA;MAIPÚ;MAIPÚ;10%;Urbano;CENTRO
Primario;Primario;Pública;09 - Primario;5;5000140;0;1005;0;1005-0;LEANDRO N. ALEM;GUAYMALLÉN;SAN JOSÉ;10%;Urbano;NORTE
Primario;Primario;Pública;16 - Primario;6;5000937;0;1006;0;1006-0;JUAN JOSÉ PASO;LUJÁN DE CUYO;MAYOR DRUMMOND;40%;Urbano;CENTRO
Primario;Primario;Pública;58 - Primario;7;5000089;00;1014;0;1014-0;DR. ALEJANDRO MATHUS;GUAYMALLÉN;BERMEJO;60%;Urbano;NORTE
Primario;Primario;Pública;12 - Primario;8;5001149;0;1016;0;1016-0;PETRONA G.DE BURGOA;GODOY CRUZ;LAS TORTUGAS;60%;Urbano marginal;CENTRO
Primario;Primario;Pública;03 - Primario;9;5000868;0;1018;0;1018-0;JUAN G. DE LAS HERAS;LAS HERAS;LAS HERAS;10%;Urbano;NORTE
Primario;Primario;Pública;47 - Primario;10;5000992;00;1022;0;1022-0;VICENTE LÓPEZ Y PLANES;TUNUYÁN;TUNUYÁN;40%;Urbano;CENTRO-SUR
Primario;Primario;Pública;16 - Primario;11;5000268;0;1023;0;1023-0;TERESA O'CONNOR;LUJÁN DE CUYO;CHACRAS DE CORIA;10%;Urbano;CENTRO
Primario;Primario;Pública;26 - Primario;12;5001124;0;1030;0;1030-0;ISAAC MELCHOR CHAVARRIA;RIVADAVIA;MEDRANO;80%;Rural;ESTE
Primario;Primario;Pública;19 - Primario;13;5001018;0;1031;0;1031-0;9 DE JULIO;SAN CARLOS;CHILECITO;80%;Urbano marginal;CENTRO-SUR
Primario;Primario;Pública;01 - Primario;14;5000043;0;1034;0;1034-0;GENERAL MANUEL BELGRANO;CAPITAL;1º SECCION - PARQUE CENTRAL;10%;Urbano;NORTE
Primario;Primario;Pública;14 - Primario;15;5000254;0;1038;0;1038-0;MARÍA BADIN DE BADIN;MAIPÚ;SAN ROQUE;80%;Rural;CENTRO
Primario;Primario;Pública;15 - Primario;16;5000507;0;1040;0;1040-0;JUAN JOSÉ VIAMONTE;MAIPÚ;TRES ESQUINAS;80%;Rural;CENTRO
Primario;Primario;Pública;53 - Primario;17;5000906;00;1041;0;1041-0;GRAL.JOSÉ A. GUTIÉRREZ;MAIPÚ;GENERAL GUTIÉRREZ;80%;Urbano marginal;CENTRO
Primario;Primario;Pública;40 - Primario;18;5000387;00;1043;0;1043-0;MOISES LUCERO;JUNIN;ALTO VERDE;110%;Rural;ESTE
Primario;Primario;Pública;33 - Primario;19;5000652;00;1044;0;1044-0;DOMINGO EVARISTO BOMBAL;SAN RAFAEL;CUADRO NACIONAL;110%;Rural;SUR
Primario;Primario;Pública;04 - Primario;20;5000862;0;1045;0;1045-0;MAESTRA O. R. DE DI CHIARA;LAS HERAS;EL ALGARROBAL;80%;Urbano marginal;NORTE
Primario;Primario;Pública;41 - Primario;21;5000717;00;1046;0;1046-0;ESCUADRON 28 DE GENDARMERIA;SAN CARLOS;LA CONSULTA;110%;Rural;CENTRO-SUR
Primario;Primario;Pública;02 - Primario;22;5000737;0;1047;0;1047-0;BARTOLOMÉ MITRE;CAPITAL;CIUDAD;10%;Urbano;NORTE
Primario;Primario;Pública;15 - Primario;23;5000255;1;1049;0;1049-0;JUANA S. DE PERALTA;MAIPÚ;RODEO DEL MEDIO;80%;Rural marginal;CENTRO
Primario;Primario;Pública;15 - Primario;24;5000509;0;1050;0;1050-0;INDEPENDENCIA ARGENTINA;MAIPÚ;CRUZ DE PIEDRA;80%;Rural;CENTRO
Primario;Primario;Pública;53 - Primario;25;5000571;00;1051;0;1051-0;MARÍA C. DE CAVAGNARO;MAIPÚ;COQUIMBITO;80%;Rural;CENTRO
Primario;Primario;Pública;13 - Primario;26;5000219;0;1052;0;1052-0;FRANCISCO GABRIELLI;MAIPÚ;LUZURIAGA;40%;Urbano;CENTRO
Primario;Primario;Pública;18 - Primario;27;5000366;0;1056;0;1056-0;MANUELA DOLORES OJEDA ;TUNUYÁN;EL TOTORAL;80%;Rural marginal;CENTRO-SUR
