Escuela_ID;Curso ;matricula_por_escuela_y_curso
989;1°;186
990;1°;137
991;1°;176
992;1°;151
993;1°;198
994;1°;201
995;1°;145
996;1°;89
997;1°;230
998;1°;132
999;1°;221
1000;1°;148
1001;1°;117
1002;1°;52
1003;1°;68
1004;1°;196
1005;1°;110
1006;1°;188
1007;1°;162
1008;1°;151
1009;1°;54
1010;1°;157
1011;1°;127
1012;1°;112
1013;1°;131
1014;1°;155
1015;1°;105
1016;1°;203
1017;1°;107
1018;1°;143
1019;1°;85
1020;1°;168
1021;1°;175
1022;1°;78
1023;1°;253
1024;1°;88
1025;1°;73
1026;1°;139
1027;1°;98
1028;1°;136
1029;1°;134
1030;1°;94
1031;1°;65
1032;1°;23
1033;1°;159
1034;1°;122
1035;1°;131
1036;1°;59
1037;1°;104
1038;1°;116
1039;1°;71
1040;1°;58
1041;1°;119
1042;1°;233
1043;1°;99
1044;1°;105
1045;1°;139
1046;1°;77
1047;1°;83
1048;1°;209
1049;1°;128
1050;1°;149
1051;1°;78
1052;1°;155
1053;1°;147
1054;1°;138
1055;1°;86
1056;1°;105
1057;1°;155
1058;1°;25
1059;1°;180
1060;1°;60
1061;1°;88
1062;1°;110
1063;1°;165
1064;1°;204
1065;1°;223
1066;1°;140
1067;1°;210
1069;1°;156
1070;1°;113
1071;1°;241
1072;1°;232
1073;1°;240
1074;1°;68
1075;1°;144
1076;1°;217
1077;1°;222
1078;1°;104
1079;1°;166
1080;1°;194
1081;1°;123
1082;1°;156
1083;1°;64
1084;1°;123
1085;1°;285
1086;1°;116
1087;1°;75
1088;1°;26
1089;1°;89
1090;1°;60
1091;1°;45
1092;1°;220
1093;1°;122
1094;1°;50
1095;1°;197
1096;1°;220
1097;1°;225
1098;1°;132
1099;1°;342
1100;1°;186
1101;1°;167
1102;1°;185
1103;1°;130
1104;1°;52
1105;1°;200
1106;1°;327
1107;1°;156
1108;1°;203
1109;1°;279
1110;1°;119
1111;1°;107
1112;1°;117
1115;1°;141
1116;1°;146
1117;1°;75
1118;1°;104
1119;1°;133
1120;1°;124
1121;1°;174
1122;1°;77
1123;1°;115
1124;1°;89
1125;1°;89
1126;1°;160
1127;1°;68
1128;1°;100
1129;1°;42
1131;1°;195
1132;1°;176
1133;1°;172
1134;1°;60
1135;1°;68
1136;1°;232
1137;1°;80
1138;1°;97
