Supervisión;Curso ;matricula_por_supervisión_y_curso
-;1°;69
01 - Secundario Orientado;1°;1313
01 - Secundario Orientado Privada;1°;1091
01 - Secundario Técnico;1°;2249
02 - Secundario Orientado;1°;889
02 - Secundario Orientado Privada;1°;677
02 - Secundario Técnico;1°;2323
03 - Secundario Orientado;1°;1678
03 - Secundario Orientado Privada;1°;1025
03 - Secundario Técnico;1°;1903
04 - Secundario Orientado;1°;885
04 - Secundario Orientado Privada;1°;1008
04 - Secundario Técnico;1°;478
05 - Secundario Orientado;1°;2043
05 - Secundario Orientado Privada;1°;953
05 - Secundario Técnico;1°;1698
06 - Secundario Orientado;1°;1588
06 - Secundario Orientado Privada;1°;941
06 - Secundario Técnico;1°;1700
07 - Secundario Orientado;1°;1111
07 - Secundario Orientado Privada;1°;1012
08 - Secundario Orientado;1°;1143
09 - Secundario Orientado;1°;1030
10 - Secundario Orientado;1°;1067
11 - Secundario Orientado;1°;905
12 - Secundario Orientado;1°;135
13 - Secundario Orientado;1°;867
14 - Secundario Orientado;1°;589
15 - Secundario Orientado;1°;911
16 - Secundario Orientado;1°;683
17 - Secundario Orientado;1°;1011
18 - Secundario Orientado;1°;1135
