Escuela_ID;matricula_por_escuela
989;178
990;113
991;164
992;132
993;178
994;166
995;134
996;78
997;180
998;105
999;169
1000;139
1001;95
1002;50
1003;57
1004;181
1005;94
1006;169
1007;143
1008;121
1009;50
1010;118
1011;107
1012;99
1013;122
1014;147
1015;89
1016;192
1017;91
1018;110
1019;81
1020;149
1021;169
1022;75
1023;233
1024;83
1025;61
1026;122
1027;89
1028;123
1029;127
1030;92
1031;58
1032;20
1033;146
1034;99
1035;124
1036;62
1037;94
1038;92
1039;66
1040;52
1041;97
1042;210
1043;97
1044;95
1045;134
1046;65
1047;77
1048;168
1049;117
1050;141
1051;76
1052;153
1053;136
1054;130
1055;72
1056;100
1057;148
1058;20
1059;157
1060;50
1061;68
1062;110
1063;147
1064;182
1065;187
1066;125
1067;199
1069;133
1070;107
1071;208
1072;213
1073;192
1074;66
1075;142
1076;193
1077;185
1078;94
1079;156
1080;167
1081;121
1082;148
1083;61
1084;111
1085;282
1086;120
1087;63
1088;25
1089;86
1090;60
1091;45
1092;208
1093;109
1094;49
1095;189
1096;207
1097;168
1098;132
1099;286
1100;180
1101;135
1102;164
1103;111
1104;49
1105;187
1106;269
1107;137
1108;172
1109;209
1110;107
1111;99
1112;117
1115;127
1116;140
1117;77
1118;90
1119;111
1120;115
1121;152
1122;77
1123;114
1124;68
1125;80
1126;143
1127;61
1128;100
1129;43
1131;168
1132;132
1133;157
1134;59
1135;65
1136;204
1137;71
1138;84
1139;169
1140;170
1141;81
1142;85
1143;181
1144;166
1145;50
1146;98
1147;64
1148;68
1149;69
1150;111
1151;60
1152;138
1153;93
1154;175
1155;63
1156;89
1157;32
1158;80
1159;42
1160;125
1161;212
1162;107
1163;68
1164;35
1165;12
1166;52
1167;47
1168;35
1169;68
1170;37
1171;58
1172;95
1173;90
1174;52
1175;98
1176;87
1177;120
1178;84
1179;30
1180;124
1181;62
1182;105
1183;29
1184;36
1185;26
1186;60
1187;98
1188;20
1189;96
1190;78
1191;99
1192;125
1193;7
1194;17
1195;13
1196;68
1197;58
1198;57
1199;126
1200;50
1201;38
1202;66
1203;34
1204;93
1205;68
1206;42
1207;47
1208;61
1209;105
1210;26
1211;84
1212;70
1213;54
1214;14
1215;48
1216;25
1217;22
1218;103
1219;55
1220;62
1221;23
1222;51
1223;40
1224;29
1225;18
1226;26
1227;26
1228;23
1229;45
1230;53
1231;15
1232;28
1233;63
1234;15
1235;62
1236;73
1237;30
1238;25
1239;26
1240;15
1241;33
1242;30
1243;67
1244;49
1245;30
1246;165
1247;86
1403;14
1442;191
1443;233
1444;148
1445;178
1446;224
1584;11
1947;108
1948;65
1949;63
1950;84
1951;94
1952;36
1953;35
1954;66
1955;64
1956;91
1957;94
1958;64
1959;69
1960;36
1961;10
1962;22
1963;66
1964;65
1965;72
1966;55
1967;118
1969;64
1970;57
1971;108
1972;70
1973;65
1974;51
1975;27
1977;67
1978;28
1979;129
1980;95
1981;103
1983;133
1984;66
1985;57
1986;108
1987;61
1988;37
1989;30
1990;49
1991;54
1992;68
1993;45
1994;68
1995;26
1996;64
1998;64
1999;58
2001;54
2003;36
2005;66
2006;98
2007;62
2009;30
2011;126
2012;42
2014;125
2015;64
2016;26
2017;64
2018;35
2019;118
2020;32
2021;61
2024;65
2025;26
2027;156
2029;34
2033;5
2034;16
2035;60
2037;34
2039;26
2041;40
2042;29
2043;31
2044;45
2045;59
2046;76
2047;41
2048;41
2050;73
2052;36
2053;73
2054;101
2058;33
2059;37
2061;47
2062;63
2063;27
2064;48
2411;81
2412;95
2577;108
2666;102
2667;78
2668;68
2669;15
2670;15
2671;68
2675;121
2676;53
2677;61
2678;37
2679;33
2680;22
2681;58
2682;27
2683;26
2684;24
2685;20
2686;62
3192;15
3204;58
3210;28
3321;49
3513;13
4394;27
4989;61
5041;25
5044;24
5088;9
5089;21
5110;24
5111;32
5176;27
5177;10
5179;33
5184;70
5185;33
5187;35
5188;30
5191;20
5236;28
5318;38
5319;9
