Escuela_ID;Curso ;División;matricula_por_escuela_curso_y_division
989;1°;1;31
989;1°;2;28
989;1°;3;32
989;1°;4;28
989;1°;5;27
989;1°;6;32
990;1°;1;29
990;1°;2;29
990;1°;3;28
990;1°;4;27
991;1°;1;28
991;1°;2;30
991;1°;3;25
991;1°;4;27
991;1°;5;26
991;1°;6;28
992;1°;1;27
992;1°;2;27
992;1°;3;25
992;1°;4;26
992;1°;5;27
993;1°;1;26
993;1°;2;26
993;1°;3;23
993;1°;4;22
993;1°;5;21
993;1°;6;25
993;1°;7;35
994;1°;1;30
994;1°;2;29
994;1°;3;27
994;1°;4;26
994;1°;5;26
994;1°;6;28
995;1°;1;33
995;1°;2;34
995;1°;3;35
995;1°;4;32
996;1°;1;23
996;1°;2;18
996;1°;3;19
996;1°;4;18
997;1°;1;32
997;1°;2;30
997;1°;3;30
997;1°;4;30
997;1°;5;29
997;1°;6;29
998;1°;1;24
998;1°;2;18
998;1°;3;24
998;1°;4;18
998;1°;5;21
999;1°;1;27
999;1°;2;28
999;1°;3;32
999;1°;4;28
999;1°;5;27
999;1°;6;27
1000;1°;1;28
1000;1°;2;29
1000;1°;3;28
1000;1°;4;28
1000;1°;5;26
1001;1°;1;23
1001;1°;2;23
1001;1°;3;27
1001;1°;4;22
1002;1°;1;27
1002;1°;2;23
1003;1°;1;12
1003;1°;2;18
1003;1°;3;13
1003;1°;4;14
1004;1°;1;31
1004;1°;2;30
1004;1°;3;28
1004;1°;4;32
1004;1°;5;31
1004;1°;6;29
1005;1°;1;31
1005;1°;2;32
1005;1°;3;31
1006;1°;1;29
1006;1°;2;29
1006;1°;3;27
1006;1°;4;27
1006;1°;5;27
1006;1°;6;30
1007;1°;1;29
1007;1°;2;32
1007;1°;3;27
1007;1°;4;27
1007;1°;5;28
1008;1°;1;26
1008;1°;2;24
1008;1°;3;22
1008;1°;4;23
1008;1°;5;26
1009;1°;1;24
1009;1°;2;26
1010;1°;1;22
1010;1°;2;20
1010;1°;3;21
1010;1°;4;22
1010;1°;5;33
1011;1°;1;25
1011;1°;2;27
1011;1°;3;26
1011;1°;4;29
1012;1°;1;26
1012;1°;2;25
1012;1°;3;25
1012;1°;4;23
1013;1°;1;30
1013;1°;2;30
1013;1°;3;31
1013;1°;4;31
1014;1°;1;22
1014;1°;2;21
1014;1°;3;28
1014;1°;4;22
1014;1°;5;26
1014;1°;6;28
1015;1°;1;25
1015;1°;2;24
1015;1°;3;18
1015;1°;4;22
1016;1°;1;35
1016;1°;2;33
