Escuela_ID;Número;Escuela;Nivel;Nivel_Unificado;Gestión;Supervisión;Departamento;Localidad;zona;AMBITO;Regional
989;4001;JOSÉ VICENTE ZAPATA;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;CAPITAL;5º SECCION -  RESIDENCIAL SUR;10%;Urbano;-
990;4002;FRAY LUIS BELTRÁN;Secundario Técnico;Secundario;Pública;01 - Secundario Técnico;CAPITAL;5º SECCION -  RESIDENCIAL SUR;10%;Urbano;-
991;4003;EMILIO CIVIT;Secundario Técnico;Secundario;Pública;01 - Secundario Técnico;MAIPÚ;MAIPÚ;10%;Urbano;-
992;4004;MERCEDES ÁLVAREZ DE SEGURA;Secundario Técnico;Secundario;Pública;05 - Secundario Técnico;SAN RAFAEL;SAN RAFAEL - CIUDAD;10%;Urbano;-
993;4005;JOSÉFA CAPDEVILA;Secundario Técnico;Secundario;Pública;03 - Secundario Técnico;SAN MARTÍN;SAN MARTÍN;40%;Urbano;-
994;4006;PASCUAL IACCARINI;Secundario Técnico;Secundario;Pública;05 - Secundario Técnico;SAN RAFAEL;SAN RAFAEL - CIUDAD;40%;Urbano;-
995;4007;MIGUEL AMADO POUGET;Secundario Técnico;Secundario;Pública;06 - Secundario Técnico;GUAYMALLÉN;BERMEJO;60%;Rural marginal;-
996;4008;FRAY MAMERTO ESQUIÚ;Secundario Orientado;Secundario;Pública;18 - Secundario Orientado;CAPITAL;4º SECCION;10%;Urbano;-
997;4009;HERMINIA MORALES DE RAMPONI;Secundario Orientado;Secundario;Pública;03 - Secundario Orientado;GUAYMALLÉN;VILLA NUEVA;10%;Urbano marginal;-
998;4010;MARÍA ELENA CHAMPEAU;Secundario Orientado;Secundario;Pública;04 - Secundario Orientado;GODOY CRUZ;GOBERNADOR BENEGAS;10%;Urbano;-
999;4011;CAPITÁN DANIEL F. MANZOTTI;Secundario Técnico;Secundario;Pública;06 - Secundario Técnico;LAS HERAS;LA CIENEGUITA;10%;Urbano;-
1000;4012;ING. RICARDO VIDELA;Secundario Orientado;Secundario;Pública;06 - Secundario Orientado;LUJÁN DE CUYO;LUJÁN;40%;Urbano;-
1001;4013;DR. BERNARDO A. HOUSSAY;Secundario Técnico;Secundario;Pública;06 - Secundario Técnico;CAPITAL;CIUDAD;10%;Urbano;-
1002;4014;MAYOR JORGE GARCÍA;Secundario Orientado;Secundario;Pública;14 - Secundario Orientado;SAN RAFAEL;MONTE COMAN;110%;Rural;-
1003;4015;SEIZO HOSHI;Secundario Técnico;Secundario;Pública;04 - Secundario Técnico;SAN RAFAEL;REAL DEL PADRE;80%;Rural;-
1004;4016;ING. ANTONIO MARCELO ARBOIT;Secundario Técnico;Secundario;Pública;03 - Secundario Técnico;JUNIN;JUNIN;80%;Urbano;-
1005;4017;BERNARDINO IZUEL;Secundario Técnico;Secundario;Pública;05 - Secundario Técnico;SAN RAFAEL;VILLA ATUEL;80%;Rural;-
1006;4018;GRAL MANUEL NICOLÁS SAVIO;Secundario Técnico;Secundario;Pública;05 - Secundario Técnico;MALARGÜE;MALARGÜE;80%;Urbano;-
1007;4019;CAPITÁN JOSÉ D VÁZQUEZ;Secundario Técnico;Secundario;Pública;06 - Secundario Técnico;LAS HERAS;LAS HERAS;10%;Urbano;-
1008;4020;ING.GABRIEL DEL MAZO;Secundario Técnico;Secundario;Pública;02 - Secundario Técnico;GODOY CRUZ;SAN FRANCISCO DEL MONTE;10%;Urbano;-
1009;4021;MARTÍN GUEMES;Secundario Técnico;Secundario;Pública;04 - Secundario Técnico;SAN RAFAEL;LA LLAVE;110%;Rural;-
1010;4022;GRAL. ENRIQUE MOSCONI;Secundario Técnico;Secundario;Pública;02 - Secundario Técnico;LUJÁN DE CUYO;CHACRAS DE CORIA;10%;Urbano;-
1011;4023;MOLINERO ANDRÉS TEJEDA;Secundario Orientado;Secundario;Pública;07 - Secundario Orientado;LAS HERAS;LAS HERAS;10%;Urbano;-
1012;4024;BELLAS ARTES;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;CAPITAL;2º SECCION - RESIDENCIAL BARRIO CIVICO;10%;Urbano;-
1013;4025;LOS CORRALITOS;Secundario Técnico;Secundario;Pública;01 - Secundario Técnico;GUAYMALLÉN;LOS CORRALITOS;80%;Rural;-
1014;4026;JUAN BAUTISTA ALBERDI;Secundario Técnico;Secundario;Pública;06 - Secundario Técnico;LAVALLE;COSTA DE ARAUJO;110%;Rural;-
1014;4026;JUAN BAUTISTA ALBERDI;Secundario Técnico;Secundario;Pública;06 - Secundario Técnico;LAVALLE;COSTA DE ARAUJO;110%;Rural;-
1015;4027;MOISES JULIO CHADE;Secundario Técnico;Secundario;Pública;03 - Secundario Técnico;SAN MARTÍN;ALTO VERDE;80%;Rural;-
1016;4028;PAULA ALBARRACÍN DE SARMIENTO;Secundario Orientado;Secundario;Pública;05 - Secundario Orientado;MAIPÚ;MAIPÚ;60%;Urbano;-
1017;4029;GRAL. JOSÉ DE SAN MARTÍN;Secundario Técnico;Secundario;Pública;06 - Secundario Técnico;LAS HERAS;EL CHALLAO;80%;Urbano;-
1018;4030;PROFESOR ÁNGEL CERVERA;Secundario Técnico;Secundario;Pública;02 - Secundario Técnico;GODOY CRUZ;GODOY CRUZ;60%;Urbano marginal;-
1019;4031;DR. FRANCISCO CORREAS;Secundario Orientado;Secundario;Pública;06 - Secundario Orientado;LUJÁN DE CUYO;CHACRAS DE CORIA;10%;Urbano;-
1020;4032;NUESTRA SEÑORA DE LAS NIEVES;Secundario Orientado;Secundario;Pública;06 - Secundario Orientado;LAS HERAS;USPALLATA;110%;Rural frontera;-
1021;4033;LAUREANA FERRARI DE OLAZABAL;Secundario Orientado;Secundario;Pública;06 - Secundario Orientado;LUJÁN DE CUYO;LUJÁN (CIUDAD);40%;Urbano;-
1022;4034;GALILEO VITALI;Secundario Técnico;Secundario;Pública;03 - Secundario Técnico;LA PAZ;VILLA ANTIGUA;110%;Rural;-
1023;4035;JULIA SILVA DE CEJAS;Secundario Técnico;Secundario;Pública;02 - Secundario Técnico;TUNUYÁN;VISTA FLORES;80%;Urbano;-
1024;4036;RAÚL SCALABRINI ORTIZ;Secundario Técnico;Secundario;Pública;01 - Secundario Técnico;GODOY CRUZ;LAS TORTUGAS;80%;Urbano marginal;-
1025;4037;HOMERO MANZI;Secundario Técnico;Secundario;Pública;06 - Secundario Técnico;LAS HERAS;EL PLUMERILLO;80%;Urbano marginal;-
1026;4038;ARTURO JAURETCHE;Secundario Técnico;Secundario;Pública;02 - Secundario Técnico;LUJÁN DE CUYO;UGARTECHE;80%;Rural;-
1027;4039;CRUZ DE PIEDRA;Secundario Técnico;Secundario;Pública;01 - Secundario Técnico;MAIPÚ;CRUZ DE PIEDRA;60%;Rural;-
1028;4040;MOHAMED DIB EL MUSRI;Secundario Orientado;Secundario;Pública;09 - Secundario Orientado;RIVADAVIA;LA CENTRAL;110%;Rural;-
1029;4041;ALICIA M. DE JUSTO;Secundario Orientado;Secundario;Pública;08 - Secundario Orientado;LAVALLE;VILLA TULUMAYA (CIUDAD);80%;Rural;-
1030;4042;MARCELINO H. BLANCO;Secundario Orientado;Secundario;Pública;17 - Secundario Orientado;LA PAZ;VILLA NUEVA DE LA PAZ;80%;Urbano;-
1031;4043;ANTONIO DI BENEDETTO;Secundario Técnico;Secundario;Pública;04 - Secundario Técnico;SAN RAFAEL;RAMA CAIDA;110%;Rural;-
1032;4044;ING.FLORENCIO CASALE;Secundario Técnico;Secundario;Pública;05 - Secundario Técnico;SAN RAFAEL;EL NIHUIL;110%;Rural;-
1033;4045;FUERTE SAN CARLOS;Secundario Orientado;Secundario;Pública;15 - Secundario Orientado;SAN CARLOS;SAN CARLOS;80%;Urbano;-
1034;4046;ING. JULIO KRAUSE;Secundario Técnico;Secundario;Pública;02 - Secundario Técnico;LUJÁN DE CUYO;CARRODILLA;40%;Urbano;-
1035;4047;EL PLUMERILLO;Secundario Orientado;Secundario;Pública;07 - Secundario Orientado;LAS HERAS;EL PLUMERILLO;10%;Urbano marginal;-
1036;4048;PANQUEHUA;Secundario Orientado;Secundario;Pública;07 - Secundario Orientado;LAS HERAS;PANQUEHUA;60%;Urbano marginal;-
1037;4049;MAESTRO ALBERTO RODRÍGUEZ;Secundario Orientado;Secundario;Pública;02 - Secundario Orientado;GUAYMALLÉN;VILLA NUEVA;40%;Urbano marginal;-
1038;4050;ROBERTO AZZONI;Secundario Orientado;Secundario;Pública;02 - Secundario Orientado;GUAYMALLÉN;VILLA NUEVA;10%;Urbano;-
1039;4051;DR. AMÉRICO CALÍ;Secundario Orientado;Secundario;Pública;04 - Secundario Orientado;GODOY CRUZ;GODOY CRUZ;60%;Urbano marginal;-
1040;4052;JUAN DRAGHI LUCERO;Secundario Orientado;Secundario;Pública;04 - Secundario Orientado;GODOY CRUZ;LAS TORTUGAS;80%;Urbano marginal;-
1041;4053;DR. HORACIO ROMÁN MARTÍNEZ LEÁNEZ;Secundario Técnico;Secundario;Pública;01 - Secundario Técnico;MAIPÚ;MAIPÚ;60%;Urbano marginal;-
1042;4054;JUAN ISIDRO MAZA;Secundario Orientado;Secundario;Pública;05 - Secundario Orientado;MAIPÚ;RODEO DEL MEDIO;60%;Urbano marginal;-
1043;4055;PRESBITERO CONSTANTINO SPAGNOLO;Secundario Técnico;Secundario;Pública;03 - Secundario Técnico;JUNIN;JUNIN;80%;Urbano;-
1044;4056;PROFESORA TERESA MAGDALENA GONZÁLEZ;Secundario Orientado;Secundario;Pública;10 - Secundario Orientado;SAN MARTÍN;MONTECASEROS;80%;Rural;-
1045;4057;MARGARITA CINCA DE GEARY;Secundario Orientado;Secundario;Pública;13 - Secundario Orientado;SAN RAFAEL;SAN RAFAEL - CIUDAD;40%;Urbano;-
