Escuela_ID;Número;Escuela;Nivel;Nivel_Unificado;Gestión;Supervisión;Departamento;Localidad;zona;AMBITO;Regional
12;1030;ISAAC MELCHOR CHAVARRIA;Primario;Primario;Pública;26 - Primario;RIVADAVIA;MEDRANO;80%;Rural;ESTE
58;1104;LEOPOLDO LUGONES;Primario;Primario;Pública;58 - Primario;GUAYMALLÉN;COLONIA SEGOVIA;80%;Rural;NORTE
136;1197;DR. VENTURA GALLEGOS;Primario;Primario;Pública;47 - Primario;TUNUYÁN;COLONIA LAS ROSAS;80%;Rural;CENTRO-SUR
147;1208;LISANDRO AGUIRRE;Primario;Primario;Pública;13 - Primario;MAIPÚ;MAIPÚ;10%;Urbano;CENTRO
162;1224;LOS ANDES;Primario;Primario;Pública;48 - Primario;SAN RAFAEL;LAS PAREDES;80%;Rural;SUR
210;1272;DOMINGO BOMBAL;Primario;Primario;Pública;02 - Primario;CAPITAL;3º SECCION - PARQUE O'HIGGINS;10%;Urbano;NORTE
218;1280;BERNARDO QUIROGA;Primario;Primario;Pública;19 - Primario;SAN CARLOS;EUGENIO BUSTOS;80%;Urbano;CENTRO-SUR
242;1304;LUIS BALDINI;Primario;Primario;Pública;17 - Primario;LUJÁN DE CUYO;UGARTECHE;80%;Rural;CENTRO
286;1350;MAESTRO DAGOBERTO VEGA;Primario;Primario;Pública;41 - Primario;SAN CARLOS;CAPIZ ALTO;110%;Rural;CENTRO-SUR
288;1352;GOBERNADOR GONZÁLEZ;Primario;Primario;Pública;03 - Primario;LAS HERAS;PANQUEHUA;80%;Rural;NORTE
324;1396;CLODOMIRO GIMENEZ;Primario;Primario;Pública;14 - Primario;MAIPÚ;FRAY LUIS BELTRÁN;110%;Rural;CENTRO
347;1421;REPÚBLICA ORIENTAL DEL URUGUAY;Primario;Primario;Pública;50 - Primario;LAS HERAS;LAS HERAS;40%;Urbano marginal;NORTE
363;1438;CAPITÁN JOSÉ LEON LEMOS;Primario;Primario;Pública;37 - Primario;MALARGÜE;MALARGÜE;80%;Urbano;SUR
402;1482;TOMÁS ALVA EDISON;Primario;Primario;Pública;07 - Primario;GUAYMALLÉN;CAPILLA DEL ROSARIO;10%;Urbano;NORTE
