Nivel;Nivel_Unificado;Gestión;Supervisión;Escuela_ID;CUE;subcue;Número;Anexo;Número_Anexo;Escuela;Departamento;Localidad;zona;AMBITO;Regional
Primario;Primario;Pública;26 - Primario;12;5001124;0;1030;0;1030-0;ISAAC MELCHOR CHAVARRIA;RIVADAVIA;MEDRANO;80%;Rural;ESTE
Primario;Primario;Pública;58 - Primario;58;5000145;0;1104;0;1104-0;LEOPOLDO LUGONES;GUAYMALLÉN;COLONIA SEGOVIA;80%;Rural;NORTE
Primario;Primario;Pública;47 - Primario;136;5000328;0;1197;0;1197-0;DR. VENTURA GALLEGOS;TUNUYÁN;COLONIA LAS ROSAS;80%;Rural;CENTRO-SUR
Primario;Primario;Pública;13 - Primario;147;5000249;0;1208;0;1208-0;LISANDRO AGUIRRE;MAIPÚ;MAIPÚ;10%;Urbano;CENTRO
Primario;Primario;Pública;48 - Primario;162;5000488;0;1224;0;1224-0;LOS ANDES;SAN RAFAEL;LAS PAREDES;80%;Rural;SUR
Primario;Primario;Pública;02 - Primario;210;5000051;0;1272;0;1272-0;DOMINGO BOMBAL;CAPITAL;3º SECCION - PARQUE O'HIGGINS;10%;Urbano;NORTE
Primario;Primario;Pública;19 - Primario;218;5000716;0;1280;0;1280-0;BERNARDO QUIROGA;SAN CARLOS;EUGENIO BUSTOS;80%;Urbano;CENTRO-SUR
Primario;Primario;Pública;17 - Primario;242;5000856;0;1304;0;1304-0;LUIS BALDINI;LUJÁN DE CUYO;UGARTECHE;80%;Rural;CENTRO
Primario;Primario;Pública;41 - Primario;286;5000709;0;1350;0;1350-0;MAESTRO DAGOBERTO VEGA;SAN CARLOS;CAPIZ ALTO;110%;Rural;CENTRO-SUR
Primario;Primario;Pública;03 - Primario;288;5000181;0;1352;0;1352-0;GOBERNADOR GONZÁLEZ;LAS HERAS;PANQUEHUA;80%;Rural;NORTE
Primario;Primario;Pública;14 - Primario;324;5000959;0;1396;0;1396-0;CLODOMIRO GIMENEZ;MAIPÚ;FRAY LUIS BELTRÁN;110%;Rural;CENTRO
Primario;Primario;Pública;50 - Primario;347;5000157;0;1421;0;1421-0;REPÚBLICA ORIENTAL DEL URUGUAY;LAS HERAS;LAS HERAS;40%;Urbano marginal;NORTE
Primario;Primario;Pública;37 - Primario;363;5001250;0;1438;0;1438-0;CAPITÁN JOSÉ LEON LEMOS;MALARGÜE;MALARGÜE;80%;Urbano;SUR
Primario;Primario;Pública;07 - Primario;402;5000094;0;1482;0;1482-0;TOMÁS ALVA EDISON;GUAYMALLÉN;CAPILLA DEL ROSARIO;10%;Urbano;NORTE
Primario;Primario;Pública;44 - Primario;409;5000330;0;1489;0;1489-0;LEANDRO DELLA SANTA;SANTA ROSA;LAS CATITAS;80%;Urbano marginal;ESTE
Primario;Primario;Pública;37 - Primario;413;5001069;0;1494;0;1494-0;GENDARME ARGENTINO;MALARGÜE;MALARGÜE;80%;Urbano marginal;SUR
Primario;Primario;Pública;47 - Primario;420;5000993;0;1502;0;1502-0;MARÍA I. ZARA DE GUIARD;TUNUYÁN;TUNUYÁN;80%;Urbano marginal;CENTRO-SUR
Primario;Primario;Pública;12 - Primario;458;5001181;0;1544;0;1544-0;DR. SEVERO GUTIÉRREZ DEL CASTILLO;GODOY CRUZ;GODOY CRUZ;60%;Urbano marginal;CENTRO
Primario;Primario;Pública;10 - Primario;529;5000602;0;1624;0;1624-0;FRAY LUIS BELTRÁN;GODOY CRUZ;SAN FRANCISCO DEL MONTE;40%;Urbano;CENTRO
Secundario Técnico;Secundario;Pública;01 - Secundario Técnico;991;5000904;0;4003;0;4003-0;EMILIO CIVIT;MAIPÚ;MAIPÚ;10%;Urbano;-
Secundario Técnico;Secundario;Pública;06 - Secundario Técnico;1014;5000424;0;4026;0;4026-0;JUAN BAUTISTA ALBERDI;LAVALLE;COSTA DE ARAUJO;110%;Rural;-
Secundario Técnico;Secundario;Pública;02 - Secundario Técnico;1026;5000216;0;4038;0;4038-0;ARTURO JAURETCHE;LUJÁN DE CUYO;UGARTECHE;80%;Rural;-
Secundario Orientado;Secundario;Pública;05 - Secundario Orientado;1049;5000573;0;4061;0;4061-0;DR. ANTONIO LÓPEZ AGUADO;MAIPÚ;COQUIMBITO;60%;Urbano marginal;-
Secundario Orientado;Secundario;Pública;03 - Secundario Orientado;1054;5000076;0;4066;0;4066-0;MADRE T. DE CALCUTA;GUAYMALLÉN;RODEO DE LA CRUZ;60%;Urbano marginal;-
Secundario Orientado;Secundario;Pública;04 - Secundario Orientado;1060;5000739;0;4072;0;4072-0;FEDERICO GARCÍA LORCA;GODOY CRUZ;VILLA HIPODROMO;60%;Urbano marginal;-
